atc_3|atc_3_desc
A01A|STOMATOLOGICAL PREPARATIONS
A02A|ANTACIDS
A02B|DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02X|OTHER DRUGS FOR ACID RELATED DISORDERS
A03A|DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03B|BELLADONNA AND DERIVATIVES, PLAIN
A03C|ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
A03D|ANTISPASMODICS IN COMBINATION WITH ANALGESICS
A03E|ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS
A03F|PROPULSIVES
A04A|ANTIEMETICS AND ANTINAUSEANTS
A05A|BILE THERAPY
A05B|LIVER THERAPY, LIPOTROPICS
A05C|DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION
A06A|DRUGS FOR CONSTIPATION
A07A|INTESTINAL ANTIINFECTIVES
A07B|INTESTINAL ADSORBENTS
A07C|ELECTROLYTES WITH CARBOHYDRATES
A07D|ANTIPROPULSIVES
A07E|INTESTINAL ANTIINFLAMMATORY AGENTS
A07F|ANTIDIARRHEAL MICROORGANISMS
A07X|OTHER ANTIDIARRHEALS
A08A|ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
A09A|DIGESTIVES, INCL. ENZYMES
A10A|INSULINS AND ANALOGUES
A10B|BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS
A10X|OTHER DRUGS USED IN DIABETES
A11A|MULTIVITAMINS, COMBINATIONS
A11B|MULTIVITAMINS, PLAIN
A11C|VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO
A11D|VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12
A11E|VITAMIN B-COMPLEX, INCL. COMBINATIONS
A11G|ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS
A11H|OTHER PLAIN VITAMIN PREPARATIONS
A11J|OTHER VITAMIN PRODUCTS, COMBINATIONS
A12A|CALCIUM
A12B|POTASSIUM
A12C|OTHER MINERAL SUPPLEMENTS
A13A|TONICS
A14A|ANABOLIC STEROIDS
A14B|OTHER ANABOLIC AGENTS
A16A|OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
B01A|ANTITHROMBOTIC AGENTS
B02A|ANTIFIBRINOLYTICS
B02B|VITAMIN K AND OTHER HEMOSTATICS
B03A|IRON PREPARATIONS
B03B|VITAMIN B12 AND FOLIC ACID
B03X|OTHER ANTIANEMIC PREPARATIONS
B05A|BLOOD AND RELATED PRODUCTS
B05B|I.V. SOLUTIONS
B05C|IRRIGATING SOLUTIONS
B05D|PERITONEAL DIALYTICS
B05X|I.V. SOLUTION ADDITIVES
B05Z|HEMODIALYTICS AND HEMOFILTRATES
B06A|OTHER HEMATOLOGICAL AGENTS
C01A|CARDIAC GLYCOSIDES
C01B|ANTIARRHYTHMICS, CLASS I AND III
C01C|CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
C01D|VASODILATORS USED IN CARDIAC DISEASES
C01E|OTHER CARDIAC PREPARATIONS
C02A|ANTIADRENERGIC AGENTS, CENTRALLY ACTING
C02B|ANTIADRENERGIC AGENTS, GANGLION-BLOCKING
C02C|ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING
C02D|ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON
